Asset ID,Title,Thumbnail URL,Downloads,Downloads/Month,Creator,Creator ID,Category,Media Type,Content Type,Premium,Dimensions,Creation Date,Keywords,Adobe Stock URL
1927054879,"Confident young Asian businesswoman in a smart suit and glasses, smiling while using a digital tablet in a modern office corridor, bathed in warm light",https://t3.ftcdn.net/jpg/19/27/05/48/240_F_1927054879_qebdoF1FA7421lrRuR4jEoaDfg0IBfr8.jpg,2,2,"Oleksandr",209031060,"People",Illustration,image/jpeg,Standard,6144 x 3504,25 Feb 2026,"woman, business, office, tablet, digital, technology, corporate, professional, smiling, happy, goggles, suit, formal, executive, adult, asian, female, corridor, hallway, workplace, modern, sleek, indoor, light, bright, optimistic, success, connect, browse, read, manager, employee, entrepreneur, leadership, communicate, lifestyle, person, 1, black, white, grey, gold, commercial, advertisement, marketing",https://stock.adobe.com/stock-photo/id/1927054879
1923688896,"Freshly harvested vibrant orange carrots, individually wrapped in clear plastic packaging, neatly arranged on a clean, light gray background, ready for sale or storage",https://t3.ftcdn.net/jpg/19/23/68/88/240_F_1923688896_L9J9BKf07jhNO2qWWHe2FF4UaHDJ4y9e.jpg,2,2,"Oleksandr",209031060,"Food",Illustration,image/jpeg,Standard,6144 x 3504,23 Feb 2026,"carrot, fresh, vegetable, produce, organic, healthy, food, orange, green, plastic, enclosed, package, transparent, diet, nourishment, raw, harvest, farm, garden, market, store, grocery, sale, convenience, ready, prepare, cook, snack, vitamin, beta, carotene, background, grey, clean, simple, studio, top, view, detail, macro, still, life, pattern, texture, heap",https://stock.adobe.com/stock-photo/id/1923688896
1902164131,"Driving School Classroom: Students Learn Road Safety Rules and Regulations in a Modern Setting, Preparing for Driver's License Exam with Instructor's Guidance",https://t4.ftcdn.net/jpg/19/02/16/41/240_F_1902164131_Otgb79MhnPBBAzjpORmpPZQAeYb4Bc7N.jpg,4,3.6,"Oleksandr",209031060,"Business",Photo,image/jpeg,Standard,6144 x 3504,5 Feb 2026,"classroom, driving, school, student, instructor, teacher, presentation, projector, learning, education, road, safety, rule, traffic, licence, exam, prepare, modern, training, teaching, people, group, audience, attend, listen, condensed, study, desk, chair, indoor, day, light, diagram, illustration, cognition, skill, adult, man, woman, lesson, session, seminar, guidance, college, university",https://stock.adobe.com/stock-photo/id/1902164131
1906898154,"Man Asleep with CPAP Machine for Sleep Apnea, Breathing Support, Healthcare, Medical Treatment, Respiratory Therapy, Prevention, Wellness, Comfortable, Serene, Dark Bedroom",https://t4.ftcdn.net/jpg/19/06/89/81/240_F_1906898154_CMbDxMMvpvtii4V50HG5WGZL1izFrKOK.jpg,4,4,"Oleksandr",209031060,"Hobbies and Leisure",Photo,image/jpeg,Standard,6144 x 3504,9 Feb 2026,"man, sleep, machine, apnea, respiratory, therapy, treatment, medicals, health, health care, wellness, bedchamber, night, dark, comfortable, prevention, mask, tube, oxygen, aid, appliance, device, equipment, person, male, asian, young, adult, serene, peaceful, sleepy, rest, resting, technology, domestic, home, interior, lifestyle, alone, 1, patient, disease, support",https://stock.adobe.com/stock-photo/id/1906898154
1936608532,"Close-up of a Human Eye with Integrated Abstract Digital Data Connections and Dynamic Light Streaks, Symbolizing Technology and Vision",https://t4.ftcdn.net/jpg/19/36/60/85/240_F_1936608532_2GK42SyI0llOVsRLH4AH1OHfTcDvttDe.jpg,1,1,"Oleksandr",209031060,"People",Illustration,image/jpeg,Standard,6144 x 3504,5 Mar 2026,"eye, human, vision, digital, technology, future, iris, pupil, circuit, network, connect, datum, light, glow, abstract, science, concept, blue, orange, brown, dark, insight, intelligence, cyber, optical, retina, micro, innovation, progress, analysis, view, observe, look, brain, artificial, system, design, pattern, modern, futuristic, close, macro, detail, interface, biometric",https://stock.adobe.com/stock-photo/id/1936608532
1924149835,"Crafting Natural Handmade Soap: A Person Pours Golden Liquid, Likely Essential Oil, into a Container of Soap Base, Surrounded by Cured Bars on a Wooden Table",https://t3.ftcdn.net/jpg/19/24/14/98/240_F_1924149835_kvd8M5RrC0dHJ6YJi0HQI1qyOXzQIWrI.jpg,1,1,"Oleksandr",209031060,"Food",Illustration,image/jpeg,Standard,5376 x 3072,23 Feb 2026,"soap, hand-made, craft, natural, organic, pour, liquid, oil, essential, maker, artisan, process, create, beauty, skincare, wellness, traditional, rustic, wood, table, kitchen, home, studio, yellow, gold, brown, neutral, warm, calm, serene, healthy, fresh, clean, product, business, hobby, lifestyle, gift, aromatherapy, herb, lavandula, ingredient, fragrance",https://stock.adobe.com/stock-photo/id/1924149835
1894954546,"Moisture Intrusion: Water Leak in Attic Causing Damage to Insulation and Wood Structure, Home Maintenance Problem and Urgent Repair Needed (Commercial)",https://t4.ftcdn.net/jpg/18/94/95/45/240_F_1894954546_ItcsSK438e52IEqSUfrqsHUX1XzmOTjF.jpg,4,3,"Oleksandr",209031060,"Industry",Illustration,image/jpeg,Standard,6144 x 3504,30 Jan 2026,"leak, attic, water, damage, wood, insulation, home, problem, repair, structure, building, ceiling, wet, dripped, residential, house, indoor, plumbing, roof, beam, dark, molded, mildew, deterioration, decay, urgent, maintenance, solution, fix, hidden, underside, renovation, restoration, crawl, space, moisture, intrusion, defect, risk, hazard, prevention, condition, exam, inspection",https://stock.adobe.com/stock-photo/id/1894954546
1925514087,"Industrial Welder in Protective Gear Stand in Metal Fabrication Workshop with Sparks in Background Demonstrating Safety and Craft",https://t3.ftcdn.net/jpg/19/25/51/40/240_F_1925514087_jue2I5O3Zvolh2GdFBFQMnLrfQ0azdSM.jpg,1,1,"Oleksandr",209031060,"Lifestyle",Photo,image/jpeg,Standard,6144 x 3504,24 Feb 2026,"men at work, weld, welder, industry, workshop, factory, manufacture, metal, steel, iron, fabrication, spark, fire, light, heat, safety, equipment, mask, helmet, uniform, glove, protection, profession, skill, craft, labor, manual, construction, engineering, blue, yellow, brown, grey, dark, indoor, hard, strong, power, build, repair, service, trade, serious, sharpened, create",https://stock.adobe.com/stock-photo/id/1925514087
1904781549,"A charming shot features a dog wearing a captain's hat, skillfully steering a boat. The image evokes a sense of adventure, fun, and expertise. Ideal for travel, pet, and nautical themes",https://t4.ftcdn.net/jpg/19/04/78/15/240_F_1904781549_NTB0DGkO4AXmQgXcuQNqUTOmSPKjbbBW.jpg,1,1,"Oleksandr",209031060,"Animals",Illustration,image/jpeg,Standard,6144 x 3504,7 Feb 2026,"dog, captain, boat, sea, nautical, ocean, travel, pet, animal, mammal, hat, helm, steer, water, adventure, cute, adorable, happy, fun, marin, vacation, sail, sailing, outdoors, summer, blue, sky, white, brown, horizon, coast, navigate, explore, journey, trip, expertise, skill, whimsical, charming, calm, vessel, transport, relaxation, lifestyle, domestic",https://stock.adobe.com/stock-photo/id/1904781549
1906901418,"Confident Warehouse Worker in Safety Gear: A Portrait of Efficiency, Ready for Logistics, Industry, or Workplace Environment Use. High-Quality, Commercial Appeal",https://t3.ftcdn.net/jpg/19/06/90/14/240_F_1906901418_RHeYZuUfAKRxC4N4eNBaK7XYSuRQBHpa.jpg,1,1,"Oleksandr",209031060,"Industry",Photo,image/jpeg,Standard,6144 x 3504,9 Feb 2026,"woman, warehouse, men at work, safety, gear, portrait, efficiency, industry, workplace, logistic, box, shelf, storage, helmet, vest, yellow, white, person, adult, female, employee, job, career, uniform, professional, confidence, looking, camera, serious, business, distribution, factory, manufacturing, theme, standing, aisle, indoor, background, service, occupation, site, construction, inspection",https://stock.adobe.com/stock-photo/id/1906901418
